app_token,app_name,installs,clicks,sessions,revenue
istlkrrn0xs0,Humalien Scan & Shoot,38915,233923,77939,0.0
903zfphagjk0,Imora: AI Art & Photo Editor,36912,109835,46273,267.099
13vk699nfan4,Fonts keyboards,35475,0,63663,0.0
lrj7utfd74zk,Clap Finder,30517,170086,63863,1186.106
fso32zvrt69s,Aspire_iOS,29134,94780,49031,43126.751
mevm6zdr96v4,Battrey Charging Animation,29080,194190,63246,298.486
arwrd028cikg,Gun Games 3D,28848,2490011,64415,159.65
s0me8n0xp1q8,Phone Cleaner,27343,75450,60023,930.154
nfwr3avvu70g,Drive Escape : Car Parking Jam,26627,330812,76001,172.473
k7f1nkhv9yww,Car Sales 3D - Car Game,25654,58838,40966,0.0
y8tpms3qar5s,Formula Racing Pro,25579,31651,53419,0.0
t6sn6yfaxxj4,Mini Car Runner iOS,22170,47734,108688,0.0
9jy16hm9iio0,Wallbox,19309,41460,28165,1022.882
nzzxp702sc1s,GT Car Stunt,17285,27801,52651,0.0
lzcdrdmgu22o,Imposter - Find the Fake,15215,1,26803,0.0
leszvizfjuv4,Arrows Tap Escape: Puzzle Game,12420,202849,39499,0.0
t1tw7mw7lxxc,Bike Stunt 3D iOS,12150,20213,57047,0.0
tnsbyo524gsg,OS Prado Parking,11450,0,42008,0.0
vjn5qmq8f8qo,Quick Phone Cleaner - Cleanify,11348,180761,13098,0.0
ng89fe5o8hds,Urban Bus Simulator,10723,21175,23480,0.0
24uvqcmzu59c,Car Mechanic,10662,4692,23680,0.0
dqfpzojv83k0,FPS Cuptie,9288,1,32787,0.0
5w52ib382rnk,Hero Survivor,8772,42901,13967,0.0
k96f8a5np4hs,Bike Drift Master iOS,7840,18587,24606,0.0
ir6wnmk2vncw,Jigsaw Solitaire Puzzle Game,7690,79658,17354,0.0
4tfmrm4seark,Goods Shelf 3D,7631,24145,18267,0.0
5dd4n8rnsmbk,Merge Kitchen,7266,14016,20846,0.0
kfan96zy34lc,Pdf Scanner,6921,33450,10831,0.0
xhzurb8aubk0,Animal Bike Stunt,6670,11714,16451,0.0
t94023h6d24g,Tattoome,6650,38901,11459,341.02
g34ra7rbojcw,car parking school,5554,1289,15811,0.0
7gdesopm1hj4,Camera Voice & Text Translator,5146,11826,10074,4.842
1khoccq4fo00,Defense Jam,4430,147628,8771,0.0
1tqixkrosn6o,Anime Wallpaper,4236,5280,9881,597.062
9j6trm1bc6bk,Bottle Out,4158,24958,24079,0.0
ikg1x363j1mo,Driving Pro iOS,3504,29357,5660,0.0
mhzgpq6tkgzk,VidNova,3340,9736,5480,0.0
68suohm6ksn4,Skyzoo - iOS,2758,35965,10418,0.0
vvdgvk8ctbls,Circuit Rivals,2757,16029,5920,0.0
snicn4iz68zk,Eshaafi - Android,2670,6533,7445,0.0
jvfhkyz2pfr4,Sonavo Speaker Cleaner,2612,7677,3856,521.015
keim3anvteyo,Kung Fu Karate iOS,2523,2350,8048,0.0
alkdwzuue0w0,Smiley Face Live Wallpapers,2408,5951,3586,0.0
egcgfqcrxbeo,Snap Spear iOS,2373,0,8851,0.0
v1leb28k5yio,Merge Kitchen Fun Puzzle Games,2264,127439,7127,0.0
wet3b3zxophc,https://play.google.com/store/apps/details?id=com.video.downloader.storysaver.browser,1744,3823,2504,33.483
i85hwjhf2ozk,Jigsaw Solitaire Puzzle Game,1505,7900,4118,0.0
urpga9ezl0qo,Snash,1493,1776,3834,0.0
fpeuv5gaqgw0,Football,1379,6555,2940,230.067
5rnbbx0a7clc,Knit Frenzy: Sort Saga Puzzle iOS,1243,717,3354,0.0
9sunjr9j6bk0,Annoying Boss Punch,1153,582061,2534,0.0
dp4l8vx82sxs,Gym Super: Click Hero Ios,1086,0,1679,0.0
bxbn2byvvgu8,Defense Jam iOS,1055,11392,2805,0.0
vydhwov4ve9s,AutoClicker,1054,1021,1793,346.566
bmc7p0mzs4cg,Smash King - GP,823,12680,2062,0.0
dlseibjghslc,WallHub - 4k & HD Wallpeper,533,3553,966,0.0
9bdscmf4vhmo,Fluid Wallpaper: magic effect,459,19672,545,0.0
pglbik8sbzsw,Screen Mirroring,418,0,569,53.749
ryf3xzgqa680,Gallery,368,492,931,0.0
khgchrzpqsjk,Phone Cleaner_TFL,207,0,319,0.0
a3klhz8on3sw,Car Wash Kindwave - iOS,206,676,720,0.0
nv2q73es1ou8,Transly,184,0,300,22.313
t6xf8th0d8g0,ScoreEleven - Live Football,163,0,249,0.0
s95ew8ltmy9s,File Manager,98,0,164,89.548
8xhz6vizpce8,ASMR Coloring Game: Drawing,78,0,386,0.0
forodx7f0e0w,Eshaafi - IOS,65,0,309,0.0
i0heq3fmxmv4,Print Smartly - iOS,51,612,55,0.0
avys7wemiwhs,Monkey Escape,18,4442,61,0.0
btslk44upkw0,IOS Keyboard,10,0,10,12.99
w4c34cv65jwg,Smash King - iOS,9,0,39,0.0
lc0wetnok2kg,AI Face Aging,8,0,22,0.003
wvvd9n7lqrcw,Prank Sound SP,8,0,8,9.99
4p48u5pv9qio,Satisfying Drawing Color Page,6,0,23,0.204
mke75ldrhdz4,Annoying Boss Punch iOS,3,0,20,0.0
pfh3vvy6c0lc,Rally Race Pro - iOS,3,0,29,0.0
o1ox0jj9v0n4,Bike Wash ASMR Game - Kindwave,2,0,2,0.0
g9fnvdgqnrwg,Idle Fighting Hero iOS,2,0,25,0.0
tsmd7l19f0n4,kart Racing GP,2,0,4,0.0
ylohq7sgnoxs,Live Wallpaper,2,0,2,0.0
e04c13m7dxxc,Makeover Cleaning ASMR,2,2762,10,0.0
td9pf6fo5b7k,Offroad Jeep iOS,2,0,22,0.0
c4f3wauum800,Doctor Hosital CupTie,1,0,2,0.0
hbjtyk5mbklc,HiPix,1,0,2,0.0
66euwblb3oqo,Hipix: AI Photo Lab,1,0,6,0.0
k2pgh7iff11c,AR Drawing,0,35751,0,0.0
hnx5u096aosg,Color Block: Fun puzzle games,0,2832,0,0.0
knask1ighjpc,Live Earth Map - Satellite View,0,30547,0,0.0
l0re6sfs7pc0,Mini Car Runner,0,8272,0,0.0
2isdk90kyjgg,Pix Editor IOS,0,32,0,0.0
l5jmyvpcderk,Sparrows,0,802,0,0.0
cax4paikpwcg,Tattoome-IOS,0,1672,0,0.0
5x6lbfs55gu8,Tile Match,0,9086,0,0.0
wzmkgp5yegow,Video Downloader_save in HD,0,4190,0,0.0
